Date,Open,High,Low,Close,Adj Close,Volume
2019-09-13,3.410000,3.410000,3.410000,3.410000,3.410000,20000
2019-09-16,3.560000,3.560000,3.560000,3.560000,3.560000,4000
2019-09-17,3.720000,3.730000,3.720000,3.730000,3.730000,8000
2019-09-18,3.910000,3.910000,3.910000,3.910000,3.910000,16000
2019-09-19,4.100000,4.100000,4.100000,4.100000,4.100000,4000
2019-09-20,4.300000,4.300000,4.300000,4.300000,4.300000,4000
2019-09-23,4.510000,4.510000,4.090000,4.090000,4.090000,32000
2019-09-24,4.090000,4.290000,4.090000,4.290000,4.290000,36000
2019-09-25,4.450000,4.500000,4.450000,4.500000,4.500000,52000
2019-09-26,4.700000,4.720000,4.700000,4.720000,4.720000,8000
2019-09-27,4.510000,4.510000,4.490000,4.490000,4.490000,16000
2019-09-30,4.270000,4.270000,4.270000,4.270000,4.270000,12000
2019-10-01,4.060000,4.060000,4.060000,4.060000,4.060000,4000
2019-10-03,4.200000,4.200000,3.860000,3.860000,3.860000,8000
2019-10-04,3.860000,3.860000,3.860000,3.860000,3.860000,0
2019-10-07,3.670000,3.670000,3.670000,3.670000,3.670000,4000
2019-10-09,3.490000,3.490000,3.490000,3.490000,3.490000,8000
2019-10-10,3.320000,3.320000,3.320000,3.320000,3.320000,4000
2019-10-11,3.320000,3.320000,3.320000,3.320000,3.320000,0
2019-10-14,3.320000,3.320000,3.320000,3.320000,3.320000,0
2019-10-15,3.320000,3.320000,3.320000,3.320000,3.320000,0
2019-10-16,3.320000,3.320000,3.320000,3.320000,3.320000,0
2019-10-17,3.160000,3.160000,3.160000,3.160000,3.160000,4000
2019-10-18,3.160000,3.160000,3.160000,3.160000,3.160000,0
2019-10-22,3.300000,3.300000,3.300000,3.300000,3.300000,4000
2019-10-23,3.300000,3.300000,3.300000,3.300000,3.300000,0
2019-10-24,3.300000,3.300000,3.300000,3.300000,3.300000,0
2019-10-25,3.140000,3.140000,3.140000,3.140000,3.140000,4000
2019-10-27,null,null,null,null,null,null
2019-10-29,2.990000,2.990000,2.990000,2.990000,2.990000,0
2019-10-30,2.990000,2.990000,2.990000,2.990000,2.990000,0
2019-10-31,2.850000,2.850000,2.850000,2.850000,2.850000,12000
2019-11-01,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-11-04,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-11-05,2.850000,2.850000,2.850000,2.850000,2.850000,0
2019-11-06,2.580000,2.580000,2.580000,2.580000,2.580000,28000
2019-11-07,2.580000,2.580000,2.580000,2.580000,2.580000,0
2019-11-08,2.580000,2.580000,2.580000,2.580000,2.580000,0
2019-11-11,2.460000,2.460000,2.460000,2.460000,2.460000,4000
2019-11-13,2.340000,2.340000,2.340000,2.340000,2.340000,4000
2019-11-14,2.230000,2.230000,2.230000,2.230000,2.230000,12000
2019-11-15,2.230000,2.230000,2.230000,2.230000,2.230000,0
2019-11-18,2.320000,2.340000,2.320000,2.340000,2.340000,8000
2019-11-19,2.340000,2.340000,2.340000,2.340000,2.340000,0
2019-11-20,2.450000,2.450000,2.450000,2.450000,2.450000,4000
2019-11-21,2.570000,2.570000,2.570000,2.570000,2.570000,4000
2019-11-22,2.570000,2.570000,2.570000,2.570000,2.570000,0
2019-11-25,2.570000,2.570000,2.570000,2.570000,2.570000,0
2019-11-26,2.570000,2.570000,2.570000,2.570000,2.570000,4000
2019-11-27,2.570000,2.570000,2.570000,2.570000,2.570000,0
2019-11-28,2.690000,2.690000,2.690000,2.690000,2.690000,12000
2019-11-29,2.560000,2.560000,2.560000,2.560000,2.560000,4000
2019-12-02,2.560000,2.560000,2.560000,2.560000,2.560000,0
2019-12-03,2.560000,2.560000,2.560000,2.560000,2.560000,0
2019-12-04,2.320000,2.320000,2.320000,2.320000,2.320000,12000
2019-12-05,2.320000,2.320000,2.320000,2.320000,2.320000,0
2019-12-06,2.320000,2.320000,2.320000,2.320000,2.320000,0
